           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      125911058        4071380        7199999        1620394        1117633          54025              0         448736      13.000000      37.929459           -nan     356.343750      17.487650       67310400       8.138981       9.348668      22.208929        5692987         113382        1507012         648460         648585         112890         112326        1453479         336410         725843
              1              1      193782951        6892619       10700000        2416996        1664525          81401              0         671070      12.999999      38.290722           -nan     364.848236      18.110556      100660500       8.703032       9.407523      22.882122        8452807         169803        2247193         971560         971742         169090         168280        2166505         502790        1086624
              2              1      205479654        8276000       11159944        2508561        1730707          85202              0         692652      13.000001      37.000565           -nan     372.151642      18.412247      103897800       9.102363       9.309885      23.097929        8826573         175190        2333371        1003360        1003089         174447         173639        2248912         519013        1117488
              3              1      167610232        7334374        8800000        1984022        1367427          66972              0         549623      13.000001      38.091022           -nan     380.766754      19.046618       82443450       9.678043       9.368573      23.781609        6955111         139133        1844889         795932         795863         138498         137763        1778552         411860         885617
              4              1      197400023        7079270       10900000        2469387        1701456          82937              0         684994      13.000000      37.385521           -nan     364.437805      18.110094      102749100       8.683571       9.426523      22.902542        8603953         173340        2296047         991771         991954         172597         171709        2213853         513285        1109115
              5              1      258812780        8286333       15000000        3348127        2317069         114144              0         916914      13.000000      37.960049           -nan     356.565002      17.254185      137537100       8.085045       9.169140      21.795963       11883915         232042        3116085        1328596        1328863         230989         229899        3002994         687015        1487634
              6              1      274295921        9895241       15100000        3427342        2361291         114893              0         951158      13.000000      38.073643           -nan     364.692810      18.165295      142673700       8.716703       9.448589      22.972218       11913264         240606        3186736        1376597        1376871         239549         238439        3072900         712719        1540408
              7              1      200172775        7785163       10700000        2440473        1683023          81411              0         676039      13.000001      37.505066           -nan     372.563446      18.707735      101405850       9.230554       9.477182      23.539011        8430746         171219        2269254         978166         978455         170474         169658        2188588         506381        1094004
              8              1      218259607        8674259       11600000        2640426        1815760          88247              0         736419      13.000000      38.759945           -nan     373.182129      18.815483      110462850       9.292824       9.522659      23.691242        9145957         186383        2454043        1065485        1065754         185594         184739        2366585         551680        1191341
              9              1      269180777        9742242       15000000        3381005        2336650         114127              0         930228      13.000000      37.800110           -nan     364.606873      17.945385      139534200       8.643106       9.302280      22.611168       11854435         235440        3145565        1347233        1347495         234407         233259        3032471         696969        1507546
             10              1      300694515        9185330       16700000        3838868        2636072         127055              0        1075741      13.000000      38.832230           -nan     357.213776      18.005661      161361150       8.343315       9.662344      23.010149       13133113         271981        3566887        1556081        1556338         270841         269660        3440972         806081        1738580
             11              1      206056302        7181297       11100000        2558793        1755897          83856              0         719040      12.999999      37.663708           -nan     364.797089      18.563631      107856000       8.846874       9.716757      23.630964        8722927         181720        2377073        1038869        1039055         180936         180075        2294001         538965        1160746
             12              1      154536083        6835310        8100000        1834354        1268111          61613              0         504630      13.000000      39.591824           -nan     381.485107      19.078527       75694500       9.733529       9.344999      23.766523        6393312         127666        1706688         730699         730841         127138         126552        1645603         378078         817512
             13              1      226754426        8955175       11900000        2729190        1867861          90516              0         770813      12.999999      37.454460           -nan     372.582611      19.054995      115621950       9.338864       9.716130      24.133741        9365721         194911        2534279        1114672        1114892         194126         193295        2444548         577518        1245177
             14              1      206677004        7314613       11300000        2584153        1779497          85982              0         718674      12.999999      37.372356           -nan     364.537659      18.290001      107801100       8.750080       9.539921      23.184402        8897712         181865        2402288        1039836        1040076         181077         180238        2317094         538436        1162538
             15              1      136970824        4269663        7700000        1753988        1206736          58576              0         488676      13.000000      38.481358           -nan     357.072052      17.788418       73301400       8.268756       9.519662      22.661369        6069699         123687        1630301         707231         707371         123185         122549        1572227         366127         790592
