           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      121767899        4548407        7199999        1620394        1117634          29392              0         473368      13.000000      37.950871           -nan     338.826416      16.912210       71005200       7.050376       9.861835      22.276335        5692987         113382        1507012         638294         638419         112890         112325        1478112         361043         749956
              1              1      187415530        7748142       10700000        2416997        1664528          45884              0         706585      13.000000      38.248539           -nan     346.965210      17.515471      105987750       7.610073       9.905397      22.912188        8452807         169804        2247193         956866         957048         169091         168278        2202022         538307        1123513
              2              1      200041392        9313859       11159944        2508562        1730710          46026              0         731826      13.000000      36.919697           -nan     354.814758      17.924946      109773900       8.088525       9.836421      23.267380        8826573         175191        2333371         987200         986929         174448         173637        2288088         558189        1155477
              3              1      163045002        8364591        8800000        1984023        1367428          36948              0         579647      13.000000      38.105228           -nan     362.909912      18.527842       86947050       8.647494       9.880346      23.904505        6955111         139134        1844889         783547         783702         138499         137763        1808576         441884         920830
              4              1      191219938        7945755       10900000        2469390        1701460          46472              0         721458      13.000000      37.393269           -nan     346.922607      17.543114      108218700       7.614793       9.928322      22.962393        8603953         173343        2296047         976684         976867         172600         171708        2250318         549750        1146198
              5              1      250426203        9289522       15000000        3348128        2317070          62197              0         968861      13.000000      37.960529           -nan     338.868835      16.695080      145329150       7.006470       9.688610      21.887787       11883915         232043        3116085        1307169        1307436         230990         229899        3054941         738962        1539449
              6              1      265603838       11094036       15100000        3427343        2361293          63130              0        1002920      13.000000      38.040710           -nan     346.912537      17.589659      150438000       7.626877       9.962782      23.041426       11913264         240607        3186736        1355239        1355513         239550         238438        3124663         764482        1591557
              7              1      194344524        8755464       10700000        2440475        1683025          44788              0         712662      12.999999      37.433243           -nan     354.879822      18.163040      106899300       8.172451       9.990588      23.636389        8430746         171221        2269254         963038         963327         170476         169658        2225211         543004        1130143
              8              1      211376862        9772191       11600000        2640429        1815765          48926              0         775738      12.999999      38.657032           -nan     354.968506      18.222143      116360700       8.191049      10.031096      23.738152        9145957         186386        2454043        1049265        1049534         185597         184737        2405906         591001        1231289
              9              1      260827255       10955115       15000000        3381005        2336650          62975              0         981380      13.000000      37.755634           -nan     346.882111      17.388483      147207000       7.574684       9.813801      22.694878       11854435         235440        3145565        1326108        1326370         234408         233260        3083622         748120        1559565
             10              1      289612756       10289653       16700000        3838874        2636078          70164              0        1132632      13.000001      38.795963           -nan     338.974243      17.342081      169894800       7.168740      10.173342      22.990005       13133113         271987        3566887        1532607        1532864         270847         269660        3497863         862972        1795793
             11              1      199264809        8052178       11100000        2558794        1755898          45737              0         757159      13.000000      37.599907           -nan     346.913483      17.951786      113573850       7.719906      10.231878      23.663843        8722927         181721        2377073        1023136        1023322         180937         180075        2332120         577084        1198113
             12              1      150006116        7683342        8100000        1834355        1268112          33720              0         532523      13.000000      39.560856           -nan     362.929260      18.519274       79878450       8.657736       9.861537      23.860270        6393312         127667        1706688         719181         719323         127139         126552        1673496         405971         844491
             13              1      219944710       10064632       11900000        2729192        1867864          49912              0         811416      13.000000      37.374580           -nan     354.931396      18.482748      121712400       8.254816      10.227933      24.201431        9365721         194913        2534279        1097915        1098135         194128         193294        2485152         618122        1285444
             14              1      200120373        8212975       11300000        2584153        1779497          47557              0         757099      12.999999      37.278950           -nan     346.891693      17.709766      113564850       7.659781      10.049987      23.241713        8897712         181865        2402288        1023974        1024214         181078         180239        2355518         576860        1201103
             15              1      132011125        4784063        7700000        1753989        1206737          32581              0         514671      13.000000      38.583561           -nan     338.913727      17.144302       77200650       7.118244      10.026058      22.653126        6069699         123688        1630301         696479         696619         123186         122549        1598222         392122         817116
