           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      163323427        8024714        9499999        2159233        1489070          39542              0         630621      13.000000      60.472866           -nan     339.578217      17.191940       94593150       7.234767       9.957175      22.541597        7492050         151284        2007949         851983         852147         150637         149918        1969054         480703        1000751
              1              1      211964461       11535208       12200000        2735761        1892607          50701              0         792453      13.000001      51.567169           -nan     347.303009      17.374136      118867950       7.630862       9.743275      22.559124        9654088         189849        2545912        1069687        1069878         189031         188129        2496029         604324        1258867
              2              1      218790283       11689689       11700000        2694426        1841017          49151              0         804258      12.999999      53.643040           -nan     355.411377      18.700026      120638700       8.389025      10.311000      24.430977        9198956         193382        2501044        1088710        1088941         192560         191641        2452715         612617        1273233
              3              1      213011779       13170434       11400000        2581298        1781705          47451              0         752142      12.999999      58.887211           -nan     363.522491      18.685244      112821300       8.788639       9.896605      23.984259        8999088         180386        2400912        1015950        1016145         179620         178740        2354227         573402        1194320
              4              1      206388487       10240917       11700000        2646654        1821715          49171              0         775768      13.000001      49.900898           -nan     347.343109      17.640041      116365200       7.694298       9.945744      23.030569        9239585         186239        2460415        1048636        1048904         185440         184626        2412043         591142        1231979
              5              1      190123909        7820675       11300000        2530646        1748931          46921              0         734794      13.000001      45.189724           -nan     339.113403      16.825125      110219100       7.071222       9.753903      22.051195        8945385         176031        2354615         991704         991904         175248         174455        2308477         560339        1167495
              6              1      188219431        8529457       10700000        2427997        1674459          45279              0         708259      13.000001      44.564964           -nan     347.127899      17.590601      106238850       7.661737       9.928864      22.977238        8442060         170057        2257940         958131         958322         169330         168523        2213388         539736        1123948
              7              1      193899639       10344277       10500000        2399494        1644615          44865              0         710014      13.000001      52.154930           -nan     355.458191      18.466631      106502100       8.323575      10.143057      24.036219        8271270         170764        2228730         962139         962301         170056         169193        2184573         540821        1126371
              8              1      207137969       11023785       11159944        2573791        1766054          48387              0         759350      13.000000      50.535248           -nan     355.406647      18.560843      113902500       8.354475      10.206368      24.182743        8769042         182889        2390902        1029733        1029541         182118         181206        2343286         578144        1198644
              9              1      192007713        8764068       10800000        2466997        1697058          44231              0         725708      13.000000      43.618027           -nan     347.073334      17.778492      108856200       7.699214      10.079278      23.321657        8507007         174004        2292993         979442         979658         173272         172496        2249494         553212        1149498
             10              1      216469780        8357496       12300000        2852715        1952832          52132              0         847751      13.000000      45.227268           -nan     339.186829      17.599169      127162650       7.260742      10.338427      23.377722        9651395         204110        2648605        1147938        1148292         203268         202303        2597315         645448        1343608
             11              1      239077872       12289511       13700000        3078671        2127200          56296              0         895175      13.000000      52.368977           -nan     347.293427      17.450939      134276250       7.649754       9.801187      22.692583       10835649         214320        2864351        1207415        1207622         213351         212378        2809024         682797        1421059
             12              1      237125909       15581761       12700000        2875672        1984338          52607              0         838727      13.000000      54.913548           -nan     363.380127      18.671331      125809050       8.765107       9.906224      23.998169       10025258         200930        2674742        1132793        1132923         200056         199092        2623009         639635        1330551
             13              1      211869871       11920077       11800000        2653111        1833680          49197              0         770234      13.000000      50.445332           -nan     355.274780      17.955074      115535100       8.163963       9.791110      23.190229        9331632         184743        2468368        1039889        1040153         183929         183046        2419985         587188        1222752
             14              1      192513456       10008002       11000000        2485924        1717450          46338              0         722136      13.000000      48.045967           -nan     347.217743      17.501223      108320400       7.653914       9.847309      22.794403        8687324         173248        2312676         976275         976452         172501         171672        2267085         550464        1147555
             15              1      179405634        8734938       10500000        2373713        1637018          44140              0         692555      13.000000      56.680653           -nan     339.506470      17.086250      103883250       7.192608       9.893642      22.393040        8292443         166156        2207557         936277         936439         165447         164654        2164126         527901        1099406
