           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      146481119         616754        7999999        1785982        1290215           5326              0         490441      13.000000      68.714607           -nan     375.715820      18.310143       73566150       9.114372       9.195770      23.033308        6337148         123131        1662851         686724         686874         123083         122963        1657573         367478         739778
              1              1      242961772        1052658       12959944        2921969        2101724           9900              0         810345      13.000000      52.228283           -nan     378.308167      18.747131      121551750       9.368098       9.379034      23.654432       10241768         203793        2718176        1137115        1136888         203698         203375        2708371         606970        1218672
              2              1      197349564         880972        9000000        2199553        1545693           8468              0         645392      12.999999      63.262047           -nan     392.207092      21.927731       96808800      11.171196      10.756534      28.125257        6963046         162599        2036954         907806         907994         162535         162326        2028550         483066         977027
              3              1      219294431        1121034       11000000        2465230        1777776           8371              0         679083      13.000000      61.546886           -nan     400.431580      19.935858      101862450      10.675635       9.260222      24.720570        8705449         170679        2294551         953004         953143         170605         170390        2286254         508693        1025962
              4              1      201968716         803518       11000000        2450756        1771755           8370              0         670631      13.000001      51.721146           -nan     377.927521      18.360792      100594650       9.215824       9.144968      23.040901        8717701         168457        2282299         941273         941369         168381         168210        2274005         502421        1013311
              5              1      194277480         721858       11000000        2462051        1776422           8370              0         677259      13.000000      43.000000           -nan     364.408722      17.661589      101588850       8.426239       9.235350      22.436281        8708135         170186        2291865         950471         950601         170112         169922        2283569         507337        1023225
              6              1      131731717         491739        7000000        1623398        1168347           5329              0         449722      13.000000      42.993244           -nan     372.769379      18.818817       67458300       9.181916       9.636901      23.948942        5489653         113051        1510347         631174         631242         113000         112782        1505069         336940         679297
              7              1      194158925         931719       10000000        2234657        1613483           7607              0         613567      13.000001      63.395424           -nan     393.502930      19.415894       92035050      10.212387       9.203505      24.144041        7919495         154152        2080505         860987         861122         154082         153968        2072968         459599         926997
              8              1      208547089         985790       11000000        2466718        1778472           8365              0         679881      13.000000      49.548714           -nan     384.471375      18.958826      101982150       9.687721       9.271105      23.763163        8704238         170956        2295762         954049         954225         170886         170630        2287467         509251        1027141
              9              1      219283426         873174       12000000        2689571        1939408           9130              0         741033      13.000000      44.996494           -nan     373.645935      18.273619      111154950       9.010707       9.262913      23.073664        9496652         186223        2503348        1040008        1040143         186138         185900        2494303         555133        1119578
             10              1      247750021         811467       14000000        3133800        2261247          10651              0         861902      13.000000      43.851749           -nan     364.975891      17.696430      129285300       8.461765       9.234664      22.469532       11082944         216744        2917056        1209269        1209522         216649         216401        2906500         645501        1302057
             11              1      392836961        1649319       21000000        4752208        3427315          16003              0        1308890      13.000000      51.605637           -nan     378.218292      18.706522      196333500       9.357307       9.349215      23.573626       16576725         328933        4423275        1836910        1836919         328765         328350        4407440         980540        1971001
             12              1      319308374        1768630       16000000        3639877        2607852          12184              0        1019841      13.000000      49.767235           -nan     392.900177      19.956774      152976150      10.395764       9.561009      25.043482       12616591         256468        3383409        1431503        1431677         256352         255761        3371341         764080        1540589
             13              1      193685325         801932        9000000        2177628        1536809           6341              0         634478      12.999999      57.231667           -nan     390.948914      21.520592       95171700      10.945958      10.574633      27.560942        6981590         159218        2018410         889036         889178         159158         159047        2012129         475431         956916
             14              1      206628532         979806       11000000        2480822        1784057           8374              0         688391      12.999999      52.827560           -nan     378.701233      18.784412      103258650       9.397262       9.387150      23.699503        8692191         173013        2307809         966166         966281         172933         172668        2299515         515723        1039975
             15              1      167875111         657830        9000000        2033183        1461125           6859              0         565199      12.999999      60.395832           -nan     375.700653      18.652790       84779850       9.232807       9.419983      23.593960        7108906         142089        1891094         793280         793387         142018         141768        1884306         423431         853871
