           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      175814392        7189187        9499999        2159231        1489068          71521              0         598642      13.000000      60.360664           -nan     367.353882      18.506781       89796300       9.054538       9.452244      23.148787        7492050         151282        2007949         865194         865358         150635         149918        1937075         448724         967882
              1              1      223817644       10307670       12200000        2735760        1892605          92804              0         750351      12.999999      51.262703           -nan     371.314636      18.345709      112552650       9.120081       9.225627      22.837402        9654088         189848        2545912        1087062        1087253         189030         188130        2453926         562221        1216785
              2              1      231885015       10449823       11700000        2694424        1841015          89021              0         764388      13.000001      53.766987           -nan     380.444122      19.819231      114658200      10.019386       9.799846      24.855291        9198956         193380        2501044        1105171        1105402         192558         191641        2412845         572747        1234147
              3              1      226361067       11705788       11400000        2581297        1781704          86741              0         712852      13.000000      58.895042           -nan     390.771118      19.856234      106927800      10.476603       9.379632      24.435263        8999088         180385        2400912        1032174        1032369         179619         178740        2314937         534112        1154578
              4              1      217680272        9077272       11700000        2646653        1821714          89014              0         735925      13.000000      49.974949           -nan     370.660370      18.605152      110388750       9.170216       9.434937      23.314379        9239585         186238        2460415        1065073        1065117         185439         184626        2372200         551299        1186606
              5              1      199155130        6982825       11300000        2530644        1748927          85972              0         695745      13.000001      45.336853           -nan     360.153595      17.624348      104361750       8.388794       9.235554      22.174784        8945385         176029        2354615        1007806        1008006         175246         174457        2269426         521288        1128145
              6              1      196744719        7622225       10700000        2427995        1674456          81409              0         672130      13.000000      44.570587           -nan     368.011871      18.387358      100819500       8.964973       9.422383      23.116993        8442060         170055        2257940         973051         973242         169328         168524        2177258         503606        1088252
              7              1      204850087        9234469       10500000        2399489        1644610          79885              0         674994      13.000000      52.145596           -nan     379.636078      19.509531      101249100       9.866760       9.642772      24.404961        8271270         170759        2228730         976605         976767         170051         169193        2149553         505801        1091103
              8              1      218268972        9870334       11159944        2573790        1766052          85210              0         722528      13.000000      50.179581           -nan     378.746887      19.558250      108379200       9.846804       9.711447      24.521202        8769042         182888        2390902        1044962        1044770         182117         181207        2306463         541321        1162239
              9              1      200193313        7817531       10800000        2466997        1697055          81557              0         688385      13.000001      43.763931           -nan     367.266998      18.536417      103257750       8.975514       9.560903      23.409361        8507007         174004        2292993         994841         995057         173272         172499        2212168         515886        1112415
             10              1      227735313        7482152       12300000        2852715        1952831          93581              0         806303      13.000001      45.242889           -nan     360.557068      18.515066      120945450       8.682103       9.832963      23.635630        9651395         204110        2648605        1165053        1165407         203268         202304        2555866         603999        1302030
             11              1      252685619       10966816       13700000        3078670        2127198         104251              0         847221      13.000000      52.462124           -nan     371.546478      18.444206      127083150       9.168064       9.276142      22.976788       10835649         214319        2864351        1227182        1227389         213350         212379        2761069         634842        1373374
             12              1      250607208       13899051       12700000        2875673        1984339          96630              0         794704      13.000001      54.906116           -nan     389.123322      19.732851      119205600      10.346583       9.386268      24.349438       10025258         200931        2674742        1150961        1151091         200055         199090        2578988         595614        1287217
             13              1      222666771       10635294       11800000        2653109        1833678          89783              0         729648      13.000000      50.318714           -nan     378.700043      18.870066      109447200       9.594878       9.275187      23.416756        9331632         184741        2468368        1056650        1056914         183927         183046        2379399         546602        1182691
             14              1      202325871        8939396       11000000        2485922        1717448          83689              0         684785      13.000000      48.238823           -nan     369.659821      18.393261      102717750       9.055284       9.337977      23.012501        8687324         173246        2312676         991712         991889         172499         171672        2229734         513113        1109509
             15              1      191931625        7838828       10500000        2373710        1637015          79889              0         656806      13.000001      56.486912           -nan     365.830658      18.279203       98520900       8.896260       9.382942      22.883789        8292443         166153        2207557         951051         951213         165444         164654        2128377         492152        1063792
