           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      134411397         348748        7999999        1785938        1290171              0              0         495767      13.002488           -nan           -nan     349.678040      16.801426       74365050       7.505795       9.295632      21.669857        6337148         123087        1662851         684638         684790         123087         123011        1662851         372756         745816
              1              1      227724746         673672       12959944        2921895        2101649              0              0         820246      13.003288           -nan           -nan     357.598969      17.571430      123036900       8.077801       9.493629      22.632748       10241768         203719        2718176        1133238        1133019         203719         203471        2718176         616775        1227736
              2              1      181238572         618432        9000000        2199493        1545633              0              0         653860      13.005431           -nan           -nan     365.237854      20.137619       98079000       9.239952      10.897667      26.534937        6963046         162539        2036954         904582         904773         162539         162390        2036954         491470         983322
              3              1      202216554         901964       11000000        2465166        1777712              0              0         687454      13.004372           -nan           -nan     373.278992      18.383324      103118100       9.008950       9.374372      23.328375        8705449         170615        2294551         949726         949869         170615         170464        2294551         516990        1034266
              4              1      190147592         625100       11000000        2450688        1771687              0              0         679001      13.001938           -nan           -nan     358.341797      17.286144      101850150       8.027040       9.259105      22.119495        8717701         168389        2282299         937997         938096         168389         168286        2282299         510715        1021628
              5              1      185926102         483320       11000000        2461982        1776353              0              0         685629      13.002053           -nan           -nan     350.131287      16.902372      102844350       7.552886       9.349486      21.823650        8708135         170117        2291865         947192         947324         170117         169996        2291865         515633        1031530
              6              1      126449830         394960        7000000        1623356        1168305              0              0         455051      13.002371           -nan           -nan     359.051666      18.064262       68257650       8.313169       9.751093      23.340973        5489653         113009        1510347         629087         629160         113009         112833        1510347         342218         684582
              7              1      178235918         690372       10000000        2234592        1613418              0              0         621174      13.003741           -nan           -nan     365.654907      17.823591       93176100       8.505981       9.317610      22.713533        7919495         154087        2080505         858008         858146         154087         154038        2080505         467136         934548
              8              1      197457416         760344       11000000        2466656        1778409              0              0         688247      13.003772           -nan           -nan     366.101715      17.950674      103237050       8.565488       9.385186      22.906219        8704238         170894        2295762         950770         950949         170894         170701        2295762         517546        1035450
              9              1      209531268         680852       12000000        2689497        1939334              0              0         750163      13.002317           -nan           -nan     358.466614      17.460939      112524450       8.083901       9.377037      22.409033        9496652         186149        2503348        1036435        1036576         186149         185985        2503348         564178        1128638
             10              1      237022170         615892       14000000        3133717        2261163              0              0         872554      13.003660           -nan           -nan     350.583496      16.930155      130883100       7.581362       9.348793      21.850218       11082944         216661        2917056        1205097        1205356         216661         216497        2917056         656057        1312632
             11              1      368858188        1196120       21000000        4752072        3427179              0              0        1324893      13.002560           -nan           -nan     357.980774      17.564674      198733950       8.101154       9.463522      22.585058       16576725         328797        4423275        1830642        1830894         328797         328518        4423275         996375        1993254
             12              1      301444512        1310628       16000000        3639778        2607754              0              0        1032024      13.002769           -nan           -nan     373.304718      18.840282      154803600       9.165057       9.675225      24.078714       12616591         256369        3383409        1426726        1426909         256369         255876        3383409         776148        1552666
             13              1      177413438         624828        9000000        2177574        1536755              0              0         640819      13.002981           -nan           -nan     363.732361      19.712605       96122850       9.032288      10.680316      25.898512        6981590         159164        2018410         886570         886714         159164         159107        2018410         481712         963712
             14              1      193336972         627740       11000000        2480758        1783993              0              0         696765      13.002322           -nan           -nan     357.506409      17.576088      104514750       8.074748       9.501341      22.645267        8692191         172949        2307809         962887         963010         172949         172748        2307809         524017        1048280
             15              1      154889636         399572        9000000        2033127        1461069              0              0         572058      13.002576           -nan           -nan     351.013458      17.209959       85808700       7.675660       9.534301      22.311119        7108906         142033        1891094         790595         790708         142033         141839        1891094         430219         860664
